,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
16936,24825,Alabama,US,2020-01-22,0.0,0.0
16937,24826,Alabama,US,2020-01-23,0.0,0.0
16938,24827,Alabama,US,2020-01-24,0.0,0.0
16939,24828,Alabama,US,2020-01-25,0.0,0.0
16940,24829,Alabama,US,2020-01-26,0.0,0.0
16941,24830,Alabama,US,2020-01-27,0.0,0.0
16942,24831,Alabama,US,2020-01-28,0.0,0.0
16943,24832,Alabama,US,2020-01-29,0.0,0.0
16944,24833,Alabama,US,2020-01-30,0.0,0.0
16945,24834,Alabama,US,2020-01-31,0.0,0.0
16946,24835,Alabama,US,2020-02-01,0.0,0.0
16947,24836,Alabama,US,2020-02-02,0.0,0.0
16948,24837,Alabama,US,2020-02-03,0.0,0.0
16949,24838,Alabama,US,2020-02-04,0.0,0.0
16950,24839,Alabama,US,2020-02-05,0.0,0.0
16951,24840,Alabama,US,2020-02-06,0.0,0.0
16952,24841,Alabama,US,2020-02-07,0.0,0.0
16953,24842,Alabama,US,2020-02-08,0.0,0.0
16954,24843,Alabama,US,2020-02-09,0.0,0.0
16955,24844,Alabama,US,2020-02-10,0.0,0.0
16956,24845,Alabama,US,2020-02-11,0.0,0.0
16957,24846,Alabama,US,2020-02-12,0.0,0.0
16958,24847,Alabama,US,2020-02-13,0.0,0.0
16959,24848,Alabama,US,2020-02-14,0.0,0.0
16960,24849,Alabama,US,2020-02-15,0.0,0.0
16961,24850,Alabama,US,2020-02-16,0.0,0.0
16962,24851,Alabama,US,2020-02-17,0.0,0.0
16963,24852,Alabama,US,2020-02-18,0.0,0.0
16964,24853,Alabama,US,2020-02-19,0.0,0.0
16965,24854,Alabama,US,2020-02-20,0.0,0.0
16966,24855,Alabama,US,2020-02-21,0.0,0.0
16967,24856,Alabama,US,2020-02-22,0.0,0.0
16968,24857,Alabama,US,2020-02-23,0.0,0.0
16969,24858,Alabama,US,2020-02-24,0.0,0.0
16970,24859,Alabama,US,2020-02-25,0.0,0.0
16971,24860,Alabama,US,2020-02-26,0.0,0.0
16972,24861,Alabama,US,2020-02-27,0.0,0.0
16973,24862,Alabama,US,2020-02-28,0.0,0.0
16974,24863,Alabama,US,2020-02-29,0.0,0.0
16975,24864,Alabama,US,2020-03-01,0.0,0.0
16976,24865,Alabama,US,2020-03-02,0.0,0.0
16977,24866,Alabama,US,2020-03-03,0.0,0.0
16978,24867,Alabama,US,2020-03-04,0.0,0.0
16979,24868,Alabama,US,2020-03-05,0.0,0.0
16980,24869,Alabama,US,2020-03-06,0.0,0.0
16981,24870,Alabama,US,2020-03-07,0.0,0.0
16982,24871,Alabama,US,2020-03-08,0.0,0.0
16983,24872,Alabama,US,2020-03-09,0.0,0.0
16984,24873,Alabama,US,2020-03-10,0.0,0.0
16985,24874,Alabama,US,2020-03-11,0.0,0.0
16986,24875,Alabama,US,2020-03-12,0.0,0.0
16987,24876,Alabama,US,2020-03-13,5.0,0.0
16988,24877,Alabama,US,2020-03-14,6.0,0.0
16989,24878,Alabama,US,2020-03-15,12.0,0.0
16990,24879,Alabama,US,2020-03-16,29.0,0.0
16991,24880,Alabama,US,2020-03-17,39.0,0.0
16992,24881,Alabama,US,2020-03-18,46.0,0.0
16993,24882,Alabama,US,2020-03-19,78.0,0.0
16994,24883,Alabama,US,2020-03-20,83.0,0.0
16995,24884,Alabama,US,2020-03-21,131.0,0.0
16996,24885,Alabama,US,2020-03-22,157.0,0.0
16997,24886,Alabama,US,2020-03-23,196.0,0.0
16998,24887,Alabama,US,2020-03-24,242.0,0.0
16999,24888,Alabama,US,2020-03-25,381.0,1.0
17000,24889,Alabama,US,2020-03-26,517.0,1.0
17001,24890,Alabama,US,2020-03-27,587.0,4.0
17002,24891,Alabama,US,2020-03-28,694.0,4.0
17003,24892,Alabama,US,2020-03-29,825.0,10.0
17004,24893,Alabama,US,2020-03-30,899.0,10.0
17005,24894,Alabama,US,2020-03-31,987.0,23.0
17006,24895,Alabama,US,2020-04-01,1060.0,27.0
17007,24896,Alabama,US,2020-04-02,1233.0,32.0
17008,24897,Alabama,US,2020-04-03,1495.0,38.0
17009,24932,Alaska,US,2020-01-22,0.0,0.0
17010,24933,Alaska,US,2020-01-23,0.0,0.0
17011,24934,Alaska,US,2020-01-24,0.0,0.0
17012,24935,Alaska,US,2020-01-25,0.0,0.0
17013,24936,Alaska,US,2020-01-26,0.0,0.0
17014,24937,Alaska,US,2020-01-27,0.0,0.0
17015,24938,Alaska,US,2020-01-28,0.0,0.0
17016,24939,Alaska,US,2020-01-29,0.0,0.0
17017,24940,Alaska,US,2020-01-30,0.0,0.0
17018,24941,Alaska,US,2020-01-31,0.0,0.0
17019,24942,Alaska,US,2020-02-01,0.0,0.0
17020,24943,Alaska,US,2020-02-02,0.0,0.0
17021,24944,Alaska,US,2020-02-03,0.0,0.0
17022,24945,Alaska,US,2020-02-04,0.0,0.0
17023,24946,Alaska,US,2020-02-05,0.0,0.0
17024,24947,Alaska,US,2020-02-06,0.0,0.0
17025,24948,Alaska,US,2020-02-07,0.0,0.0
17026,24949,Alaska,US,2020-02-08,0.0,0.0
17027,24950,Alaska,US,2020-02-09,0.0,0.0
17028,24951,Alaska,US,2020-02-10,0.0,0.0
17029,24952,Alaska,US,2020-02-11,0.0,0.0
17030,24953,Alaska,US,2020-02-12,0.0,0.0
17031,24954,Alaska,US,2020-02-13,0.0,0.0
17032,24955,Alaska,US,2020-02-14,0.0,0.0
17033,24956,Alaska,US,2020-02-15,0.0,0.0
17034,24957,Alaska,US,2020-02-16,0.0,0.0
17035,24958,Alaska,US,2020-02-17,0.0,0.0
17036,24959,Alaska,US,2020-02-18,0.0,0.0
17037,24960,Alaska,US,2020-02-19,0.0,0.0
17038,24961,Alaska,US,2020-02-20,0.0,0.0
17039,24962,Alaska,US,2020-02-21,0.0,0.0
17040,24963,Alaska,US,2020-02-22,0.0,0.0
17041,24964,Alaska,US,2020-02-23,0.0,0.0
17042,24965,Alaska,US,2020-02-24,0.0,0.0
17043,24966,Alaska,US,2020-02-25,0.0,0.0
17044,24967,Alaska,US,2020-02-26,0.0,0.0
17045,24968,Alaska,US,2020-02-27,0.0,0.0
17046,24969,Alaska,US,2020-02-28,0.0,0.0
17047,24970,Alaska,US,2020-02-29,0.0,0.0
17048,24971,Alaska,US,2020-03-01,0.0,0.0
17049,24972,Alaska,US,2020-03-02,0.0,0.0
17050,24973,Alaska,US,2020-03-03,0.0,0.0
17051,24974,Alaska,US,2020-03-04,0.0,0.0
17052,24975,Alaska,US,2020-03-05,0.0,0.0
17053,24976,Alaska,US,2020-03-06,0.0,0.0
17054,24977,Alaska,US,2020-03-07,0.0,0.0
17055,24978,Alaska,US,2020-03-08,0.0,0.0
17056,24979,Alaska,US,2020-03-09,0.0,0.0
17057,24980,Alaska,US,2020-03-10,0.0,0.0
17058,24981,Alaska,US,2020-03-11,0.0,0.0
17059,24982,Alaska,US,2020-03-12,0.0,0.0
17060,24983,Alaska,US,2020-03-13,1.0,0.0
17061,24984,Alaska,US,2020-03-14,0.0,0.0
17062,24985,Alaska,US,2020-03-15,1.0,0.0
17063,24986,Alaska,US,2020-03-16,1.0,0.0
17064,24987,Alaska,US,2020-03-17,3.0,0.0
17065,24988,Alaska,US,2020-03-18,6.0,0.0
17066,24989,Alaska,US,2020-03-19,9.0,0.0
17067,24990,Alaska,US,2020-03-20,12.0,0.0
17068,24991,Alaska,US,2020-03-21,15.0,0.0
17069,24992,Alaska,US,2020-03-22,20.0,0.0
17070,24993,Alaska,US,2020-03-23,30.0,0.0
17071,24994,Alaska,US,2020-03-24,34.0,0.0
17072,24995,Alaska,US,2020-03-25,41.0,1.0
17073,24996,Alaska,US,2020-03-26,56.0,1.0
17074,24997,Alaska,US,2020-03-27,58.0,1.0
17075,24998,Alaska,US,2020-03-28,85.0,2.0
17076,24999,Alaska,US,2020-03-29,102.0,2.0
17077,25000,Alaska,US,2020-03-30,114.0,3.0
17078,25001,Alaska,US,2020-03-31,119.0,3.0
17079,25002,Alaska,US,2020-04-01,132.0,3.0
17080,25003,Alaska,US,2020-04-02,143.0,3.0
17081,25004,Alaska,US,2020-04-03,157.0,3.0
17082,25039,Arizona,US,2020-01-22,0.0,0.0
17083,25040,Arizona,US,2020-01-23,0.0,0.0
17084,25041,Arizona,US,2020-01-24,0.0,0.0
17085,25042,Arizona,US,2020-01-25,0.0,0.0
17086,25043,Arizona,US,2020-01-26,0.0,0.0
17087,25044,Arizona,US,2020-01-27,0.0,0.0
17088,25045,Arizona,US,2020-01-28,0.0,0.0
17089,25046,Arizona,US,2020-01-29,0.0,0.0
17090,25047,Arizona,US,2020-01-30,0.0,0.0
17091,25048,Arizona,US,2020-01-31,0.0,0.0
17092,25049,Arizona,US,2020-02-01,0.0,0.0
17093,25050,Arizona,US,2020-02-02,0.0,0.0
17094,25051,Arizona,US,2020-02-03,0.0,0.0
17095,25052,Arizona,US,2020-02-04,0.0,0.0
17096,25053,Arizona,US,2020-02-05,0.0,0.0
17097,25054,Arizona,US,2020-02-06,0.0,0.0
17098,25055,Arizona,US,2020-02-07,0.0,0.0
17099,25056,Arizona,US,2020-02-08,0.0,0.0
17100,25057,Arizona,US,2020-02-09,0.0,0.0
17101,25058,Arizona,US,2020-02-10,0.0,0.0
17102,25059,Arizona,US,2020-02-11,0.0,0.0
17103,25060,Arizona,US,2020-02-12,0.0,0.0
17104,25061,Arizona,US,2020-02-13,0.0,0.0
17105,25062,Arizona,US,2020-02-14,0.0,0.0
17106,25063,Arizona,US,2020-02-15,0.0,0.0
17107,25064,Arizona,US,2020-02-16,0.0,0.0
17108,25065,Arizona,US,2020-02-17,0.0,0.0
17109,25066,Arizona,US,2020-02-18,0.0,0.0
17110,25067,Arizona,US,2020-02-19,0.0,0.0
17111,25068,Arizona,US,2020-02-20,0.0,0.0
17112,25069,Arizona,US,2020-02-21,0.0,0.0
17113,25070,Arizona,US,2020-02-22,0.0,0.0
17114,25071,Arizona,US,2020-02-23,0.0,0.0
17115,25072,Arizona,US,2020-02-24,0.0,0.0
17116,25073,Arizona,US,2020-02-25,0.0,0.0
17117,25074,Arizona,US,2020-02-26,0.0,0.0
17118,25075,Arizona,US,2020-02-27,0.0,0.0
17119,25076,Arizona,US,2020-02-28,0.0,0.0
17120,25077,Arizona,US,2020-02-29,0.0,0.0
17121,25078,Arizona,US,2020-03-01,0.0,0.0
17122,25079,Arizona,US,2020-03-02,0.0,0.0
17123,25080,Arizona,US,2020-03-03,0.0,0.0
17124,25081,Arizona,US,2020-03-04,0.0,0.0
17125,25082,Arizona,US,2020-03-05,0.0,0.0
17126,25083,Arizona,US,2020-03-06,0.0,0.0
17127,25084,Arizona,US,2020-03-07,0.0,0.0
17128,25085,Arizona,US,2020-03-08,0.0,0.0
17129,25086,Arizona,US,2020-03-09,0.0,0.0
17130,25087,Arizona,US,2020-03-10,6.0,0.0
17131,25088,Arizona,US,2020-03-11,9.0,0.0
17132,25089,Arizona,US,2020-03-12,9.0,0.0
17133,25090,Arizona,US,2020-03-13,9.0,0.0
17134,25091,Arizona,US,2020-03-14,12.0,0.0
17135,25092,Arizona,US,2020-03-15,13.0,0.0
17136,25093,Arizona,US,2020-03-16,18.0,0.0
17137,25094,Arizona,US,2020-03-17,20.0,0.0
17138,25095,Arizona,US,2020-03-18,27.0,0.0
17139,25096,Arizona,US,2020-03-19,45.0,0.0
17140,25097,Arizona,US,2020-03-20,78.0,0.0
17141,25098,Arizona,US,2020-03-21,118.0,1.0
17142,25099,Arizona,US,2020-03-22,152.0,2.0
17143,25100,Arizona,US,2020-03-23,235.0,2.0
17144,25101,Arizona,US,2020-03-24,326.0,5.0
17145,25102,Arizona,US,2020-03-25,401.0,6.0
17146,25103,Arizona,US,2020-03-26,508.0,8.0
17147,25104,Arizona,US,2020-03-27,665.0,13.0
17148,25105,Arizona,US,2020-03-28,773.0,15.0
17149,25106,Arizona,US,2020-03-29,919.0,17.0
17150,25107,Arizona,US,2020-03-30,1157.0,20.0
17151,25108,Arizona,US,2020-03-31,1289.0,24.0
17152,25109,Arizona,US,2020-04-01,1530.0,29.0
17153,25110,Arizona,US,2020-04-02,1715.0,32.0
17154,25111,Arizona,US,2020-04-03,1937.0,41.0
17155,25146,Arkansas,US,2020-01-22,0.0,0.0
17156,25147,Arkansas,US,2020-01-23,0.0,0.0
17157,25148,Arkansas,US,2020-01-24,0.0,0.0
17158,25149,Arkansas,US,2020-01-25,0.0,0.0
17159,25150,Arkansas,US,2020-01-26,0.0,0.0
17160,25151,Arkansas,US,2020-01-27,0.0,0.0
17161,25152,Arkansas,US,2020-01-28,0.0,0.0
17162,25153,Arkansas,US,2020-01-29,0.0,0.0
17163,25154,Arkansas,US,2020-01-30,0.0,0.0
