,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
Abruzzo,1,,,,,,1,,,1,1,,,,,,1,,
Basilicata,,1,1,1,,,,,,,,,1,,,,,,
Calabria,,1,1,,,,,,,,,,,,,,,,
Campania,,1,,1,,,1,,,,1,,1,,,,,,
Emilia-Romagna,,,,,1,,,1,1,1,,1,,,,1,,,1
Friuli Venezia Giulia,,,,,,1,,,,,,,,,,,,,1
Lazio,1,,,1,,,1,,,1,1,,,,,1,1,,
Liguria,,,,,1,,,1,,,,1,,,,1,,,
Lombardia,,,,,1,,,1,1,,,1,,,,,,,1
Marche,1,,,,1,,1,,,1,,,,,,1,1,,
Molise,1,,,1,,,1,,,,1,,1,,,,,,
Piemonte,,,,,1,,,1,1,,,1,,,,,,1,
Puglia,,1,,1,,,,,,,1,,1,,,,,,
Sardegna,,,,,,,,,,,,,,1,,,,,
Sicilia,,,,,,,,,,,,,,,1,,,,
Toscana,,,,,1,,1,1,,1,,,,,,1,1,,
Umbria,,,,,,,,,,,,,,,,1,1,,
Valle d'Aosta,,,,,,,,,,,,1,,,,,,1,
Veneto,,,,,1,1,,,1,,,,,,,,,,1
